L,r,sij_mean,sij_se,sij_snr,dij_c_mean,dij_c_se,dij_c_snr,ddij_mean,ddij_se,ddij_snr
72,21,-0.0008493000000000284,1.1052742498183925e-5,76.84065743317342,0.0,0.0,NaN,2.605597537688742e-6,8.969927240370864e-5,0.029048145741492247
72,22,0.0,0.0,NaN,7.653061224489796e-8,5.411504430676889e-8,1.4142206335646528,5.630100573533747e-5,9.072441165489867e-5,0.6205717370700359
72,23,-0.00077953125,1.0829992659399377e-5,71.97892690383708,0.0,0.0,NaN,-3.8742839944219676e-5,9.157626335524175e-5,0.42306639870125323
72,24,0.0,0.0,NaN,7.978723404255319e-8,5.6417812149610115e-8,1.414220633564653,5.429655495908792e-5,9.281403220722572e-5,0.5850037291544462
72,25,-0.0007041847826086967,1.0509039370041553e-5,67.00753111803333,0.0,0.0,NaN,2.7223532349504587e-5,9.371167094255412e-5,0.2905031153077272
72,26,0.0,0.0,NaN,0.0,0.0,NaN,2.3155597554697094e-5,9.477933366812608e-5,0.24431061771100243
72,27,-0.0006732954545454173,1.0524119729373664e-5,63.976415306849425,0.0,0.0,NaN,4.920105212670445e-5,9.544037044339138e-5,0.5155161479165371
72,28,0.0,0.0,NaN,0.0,0.0,NaN,-4.2321146651772e-5,9.649935423593331e-5,0.4385640400069428
72,29,-0.0006307142857143326,1.042356140792067e-5,60.50852113127712,0.0,0.0,NaN,0.00011438774041365452,9.737422054197442e-5,1.1747230404206028
72,30,0.0,0.0,NaN,0.0,0.0,NaN,-4.997854865076978e-5,9.867642251793053e-5,0.5064892643598643
72,31,-0.0006127499999999641,1.0545493063353607e-5,58.105391214879944,0.0,0.0,NaN,-1.0641277443323993e-5,0.00010021681490855642,0.1061825548240952
72,32,0.0,0.0,NaN,0.0,0.0,NaN,3.7059443704551276e-5,0.00010156719807065883,0.3648761057558126
72,33,-0.0006067105263157523,1.0773378422963089e-5,56.31571662075561,0.0,0.0,NaN,6.448360690400334e-6,0.0001031623756750447,0.06250690378352941
72,34,0.0,0.0,NaN,0.0,0.0,NaN,-2.1256564662938682e-5,0.00010455290362044979,0.20330917580352167
72,35,-0.0005887500000000233,1.0917471148886077e-5,53.92732364216911,0.0,0.0,NaN,9.871809755578054e-5,0.00010582328533877457,0.932857992829763
