L,W,r,num_samples,ss_mean,ss_se,ss_snr,dd_c_mean,dd_c_se,dd_c_snr,dd_shift_mean,dd_shift_se,dd_shift_snr
24,2.0,5,50,-0.054288426103532,0.0027916793373706,19.4465121322506,-0.0019772626276755,0.0002204866013705,8.967722371268689,-0.0157419970890222,0.0026150969545726,6.019660977195016
24,2.0,6,50,0.0338410872176873,0.0021513584597306,15.73010163165678,0.001389607255605,0.0001910743663778,7.272599051077936,0.0083251206214879,0.0030354652738895,2.7426176451758524
24,2.0,7,50,-0.0346575890060925,0.0023444979562409,14.782520459800311,-0.0006927193113174,0.0001170594520155,5.917670887655766,-0.0109145474213346,0.0033297942484317,3.2778443972852807
24,2.0,8,50,0.0236034950892539,0.0020397540799114,11.571735691921688,0.0005192873360055,9.73261267200935e-05,5.335538909289518,0.0056036110742067,0.0038500052379679,1.4554814156991631
24,2.0,9,50,-0.0257649449745313,0.0023731691048151,10.856767401132162,-0.0003021903659493,7.696459579354256e-05,3.9263555253375135,-0.0086463520372194,0.0039895806812202,2.16723328291604
24,2.0,10,50,0.0187075616246106,0.0021179832795724,8.832723943121572,0.0002517378694778,6.798943566040436e-05,3.70260272103453,0.0045784245661014,0.0042309112096091,1.082136764227768
24,2.0,11,50,-0.021540875985363,0.0025452906031214,8.463032063586953,-0.0001552586077089,4.439628420046876e-05,3.497108159048869,-0.0046047678041168,0.0042696194503222,1.0784960715338023
24,2.0,12,50,0.0156305301530285,0.0020929493044998,7.468183830073101,0.0001181937535821,3.510039722915785e-05,3.3673052988702272,0.0048651851203533,0.0041225422444117,1.180141968696225
26,2.0,1,49,-0.4159424620613338,0.0016533027608486,251.58275417615224,-0.1270239778194374,0.0028280107197984,44.91637069483675,-0.1733063377986275,0.0013535789370861,128.0356343101053
26,2.0,2,49,0.1298948525959172,0.0024694055213857,52.60166929691759,0.0338643033395687,0.0012845168759007,26.363455377588757,0.0584641486994032,0.0013442925216601,43.49064489862694
26,2.0,3,49,-0.1083998465144676,0.0029462975872171,36.79188653066623,-0.0082408662471795,0.000560542388622,14.701593339690527,-0.030114638973418,0.0023014091492225,13.085304272641569
26,2.0,4,49,0.0570302509384252,0.0024710487756482,23.079370792049264,0.0046764115991881,0.0003827489117905,12.217961841646185,0.0150695811134744,0.0023955616141283,6.290625557112818
26,2.0,5,49,-0.0534004892935099,0.0026244889374154,20.34700490911525,-0.0019460112022449,0.000207052109082,9.398654333310194,-0.0141719358213121,0.002621428805518,5.406187568962519
26,2.0,6,49,0.0334808507504609,0.002016466531401,16.603722516137264,0.0013099279561687,0.0001620277562155,8.084589867590228,0.007791813316152,0.0029642480172328,2.6285969564131864
26,2.0,7,49,-0.0340776035495904,0.002137202796996,15.944955526676482,-0.0006563797264512,0.0001075659888757,6.102112138895661,-0.0100089409472624,0.0031616336442747,3.165749758953639
26,2.0,8,49,0.0231632088296579,0.0019264966281506,12.023487864546055,0.0004850953008536,8.826513547679429e-05,5.495888022300763,0.005691535361702,0.0035885296488526,1.5860354849016889
26,2.0,9,49,-0.0251135295036687,0.0021920287228673,11.45675202230861,-0.0002829479172959,6.923995029790582e-05,4.086483541345795,-0.0092872997379452,0.0036460252930935,2.5472395256109697
26,2.0,10,49,0.0180347588465796,0.0019771860845177,9.121427157413004,0.0002336329509264,6.018025086104315e-05,3.8822196249378544,0.0056462636734568,0.0039511732521148,1.4290093886504902
